avg_loss,last_test,epoch,batch_idx,pres_num,maxn,train_perf
2.1852846,0.125,0,1,4,8,0.25
1.9750526,0.125,1,1,12,8,0.25
2.1491203,0.125,2,1,20,8,0.0
1.9506443,0.125,3,1,28,8,0.5
1.8787237,0.125,4,1,36,8,0.5
2.3270414,0.125,5,1,44,8,0.25
1.9293308,0.125,6,1,52,8,0.5
1.9747442,0.125,7,1,60,8,0.25
1.8860795,0.125,8,1,68,8,0.25
1.6428316,0.125,9,1,76,8,0.5
2.168331,0.125,10,1,84,8,0.25
2.2161503,0.125,11,1,92,8,0.0
2.1455538,0.125,12,1,100,8,0.0
2.0511818,0.125,13,1,108,8,0.25
1.7328408,0.25,14,1,116,8,0.25
1.4683058,0.25,15,1,124,8,0.75
2.079711,0.25,16,1,132,8,0.0
1.8849458,0.25,17,1,140,8,0.25
1.5326681,0.25,18,1,148,8,0.5
1.8053814,0.125,19,1,156,8,0.25
2.0385895,0.125,20,1,164,8,0.25
2.0044756,0.125,21,1,172,8,0.25
2.0961094,0.125,22,1,180,8,0.0
2.1688426,0.125,23,1,188,8,0.5
1.8253365,0.125,24,1,196,8,0.5
2.0660794,0.0,25,1,204,8,0.75
1.991367,0.0,26,1,212,8,0.0
2.110181,0.0,27,1,220,8,0.0
1.5052409,0.0,28,1,228,8,0.75
2.0794551,0.0,29,1,236,8,0.0
1.4785452,0.0,30,1,244,8,0.5
1.6987795,0.0,31,1,252,8,0.5
1.9672406,0.0,32,1,260,8,0.25
1.627076,0.0,33,1,268,8,0.25
1.9446617,0.0,34,1,276,8,0.25
1.873533,0.0,35,1,284,8,0.25
1.7686481,0.0,36,1,292,8,0.25
2.155652,0.0,37,1,300,8,0.25
1.7012802,0.0,38,1,308,8,0.5
1.7533137,0.0,39,1,316,8,0.5
1.6096083,0.0,40,1,324,8,0.5
1.820187,0.0,41,1,332,8,0.5
1.9009755,0.0,42,1,340,8,0.5
1.6780713,0.0,43,1,348,8,0.25
1.656208,0.0,44,1,356,8,0.5
1.9940687,0.0,45,1,364,8,0.25
1.4873238,0.0,46,1,372,8,0.5
1.7378436,0.0,47,1,380,8,0.5
1.5729251,0.0,48,1,388,8,0.25
1.8535882,0.0,49,1,396,8,0.5
1.565606,0.0,50,1,404,8,0.5
2.0107918,0.0,51,1,412,8,0.25
1.855908,0.0,52,1,420,8,0.25
1.8943065,0.0,53,1,428,8,0.25
2.1021793,0.0,54,1,436,8,0.25
1.7726351,0.0,55,1,444,8,0.25
1.4602511,0.0,56,1,452,8,0.5
1.6984562,0.0,57,1,460,8,0.25
1.8979373,0.0,58,1,468,8,0.0
2.1342282,0.0,59,1,476,8,0.0
1.860683,0.0,60,1,484,8,0.0
1.5621514,0.0,61,1,492,8,0.25
1.8809189,0.0,62,1,500,8,0.25
1.7089134,0.0,63,1,508,8,0.5
1.6087041,0.0,64,1,516,8,0.5
1.8670511,0.0,65,1,524,8,0.25
1.6256545,0.0,66,1,532,8,0.5
2.0702906,0.0,67,1,540,8,0.0
1.4598749,0.0,68,1,548,8,0.5
1.9513037,0.0,69,1,556,8,0.25
1.6921759,0.0,70,1,564,8,0.25
1.7191588,0.0,71,1,572,8,0.5
1.577878,0.0,72,1,580,8,0.25
1.851239,0.0,73,1,588,8,0.25
1.2608901,0.0,74,1,596,8,0.5
1.3994597,0.0,75,1,604,8,0.5
1.4552338,0.0,76,1,612,8,0.25
1.9173777,0.0,77,1,620,8,0.0
1.700003,0.0,78,1,628,8,0.25
1.3533664,0.0,79,1,636,8,0.5
1.2937942,0.0,80,1,644,8,0.5
1.3797115,0.0,81,1,652,8,0.5
1.0361402,0.0,82,1,660,8,0.75
1.5905756,0.0,83,1,668,8,0.5
1.581153,0.0,84,1,676,8,0.5
1.1822848,0.0,85,1,684,8,0.75
1.5528018,0.0,86,1,692,8,0.5
1.6651871,0.0,87,1,700,8,0.5
1.1470646,0.0,88,1,708,8,0.75
1.5088779,0.0,89,1,716,8,0.25
1.2438397,0.0,90,1,724,8,0.5
1.9515524,0.0,91,1,732,8,0.0
1.7547122,0.0,92,1,740,8,0.25
1.2376097,0.0,93,1,748,8,0.5
1.5099614,0.0,94,1,756,8,0.25
1.2823997,0.0,95,1,764,8,0.5
1.5585854,0.0,96,1,772,8,0.25
1.8563915,0.0,97,1,780,8,0.5
1.7443608,0.0,98,1,788,8,0.25
1.0692418,0.0,99,1,796,8,0.75
1.5263035,0.0,100,1,804,8,0.25
1.2036556,0.0,101,1,812,8,0.75
1.5846705,0.0,102,1,820,8,0.5
1.6763954,0.0,103,1,828,8,0.25
1.3486577,0.0,104,1,836,8,0.5
1.1635344,0.0,105,1,844,8,0.75
1.6769487,0.0,106,1,852,8,0.5
1.4696423,0.0,107,1,860,8,0.5
1.5746218,0.0,108,1,868,8,0.5
1.4016701,0.0,109,1,876,8,0.75
1.1505134,0.0,110,1,884,8,0.5
1.5135088,0.0,111,1,892,8,0.5
1.538041,0.0,112,1,900,8,0.25
1.9578774,0.0,113,1,908,8,0.0
1.1784351,0.0,114,1,916,8,0.5
1.7969731,0.0,115,1,924,8,0.0
1.5579994,0.0,116,1,932,8,0.5
1.2743973,0.0,117,1,940,8,0.75
1.2033193,0.0,118,1,948,8,0.5
1.7157266,0.0,119,1,956,8,0.25
1.1324763,0.0,120,1,964,8,0.5
1.2745216,0.0,121,1,972,8,0.5
1.3039371,0.0,122,1,980,8,0.75
1.6262021,0.0,123,1,988,8,0.25
1.3827524,0.0,124,1,996,8,0.25
1.0707972,0.0,125,1,1004,8,0.75
1.5736918,0.0,126,1,1012,8,0.5
1.58305,0.0,127,1,1020,8,0.25
1.5007738,0.0,128,1,1028,8,0.5
1.5841762,0.0,129,1,1036,8,0.75
1.5401675,0.0,130,1,1044,8,0.25
1.5138966,0.0,131,1,1052,8,0.25
1.3998102,0.0,132,1,1060,8,0.75
1.6640759,0.0,133,1,1068,8,0.5
1.5647796,0.0,134,1,1076,8,0.5
1.5160353,0.0,135,1,1084,8,0.5
1.6031048,0.0,136,1,1092,8,0.75
1.2826898,0.0,137,1,1100,8,0.75
1.4657588,0.0,138,1,1108,8,0.5
1.5361171,0.0,139,1,1116,8,0.5
1.1140391,0.0,140,1,1124,8,1.0
1.0287068,0.0,141,1,1132,8,0.5
1.3734051,0.0,142,1,1140,8,0.5
1.5381541,0.0,143,1,1148,8,0.5
1.3777233,0.0,144,1,1156,8,0.75
1.4096178,0.0,145,1,1164,8,0.5
1.0790253,0.0,146,1,1172,8,0.75
1.4532661,0.0,147,1,1180,8,0.5
1.2282236,0.0,148,1,1188,8,0.75
1.5270474,0.0,149,1,1196,8,0.5
1.6977186,0.0,150,1,1204,8,0.25
1.0665314,0.0,151,1,1212,8,0.5
1.7308772,0.0,152,1,1220,8,0.25
1.8413373,0.0,153,1,1228,8,0.0
1.1629204,0.0,154,1,1236,8,0.5
1.482612,0.0,155,1,1244,8,0.25
1.3179345,0.0,156,1,1252,8,0.75
1.4699724,0.0,157,1,1260,8,0.5
1.3706894,0.0,158,1,1268,8,0.25
1.5717642,0.0,159,1,1276,8,0.25
1.386069,0.0,160,1,1284,8,0.75
1.3591886,0.0,161,1,1292,8,0.5
1.5223634,0.0,162,1,1300,8,0.25
1.0882139,0.0,163,1,1308,8,0.75
1.4974017,0.0,164,1,1316,8,0.5
1.4848881,0.0,165,1,1324,8,0.5
1.3041719,0.0,166,1,1332,8,0.5
1.3904237,0.0,167,1,1340,8,0.5
1.6356568,0.0,168,1,1348,8,0.25
1.5636017,0.0,169,1,1356,8,0.25
1.6020913,0.0,170,1,1364,8,0.25
1.526797,0.0,171,1,1372,8,0.25
1.6001068,0.0,172,1,1380,8,0.25
1.2305069,0.0,173,1,1388,8,0.25
1.2335025,0.0,174,1,1396,8,0.75
1.548134,0.0,175,1,1404,8,0.25
1.2070545,0.0,176,1,1412,8,0.5
1.5737259,0.0,177,1,1420,8,0.25
1.5128388,0.0,178,1,1428,8,0.25
1.0713825,0.0,179,1,1436,8,0.5
1.7096858,0.0,180,1,1444,8,0.0
1.1085312,0.0,181,1,1452,8,0.75
0.9223743,0.0,182,1,1460,8,0.75
1.3077025,0.0,183,1,1468,8,0.5
1.042088,0.0,184,1,1476,8,0.75
1.60441,0.0,185,1,1484,8,0.25
1.6009183,0.0,186,1,1492,8,0.0
1.3812692,0.0,187,1,1500,8,0.5
1.2428288,0.0,188,1,1508,8,0.5
1.5691925,0.0,189,1,1516,8,0.25
1.210809,0.0,190,1,1524,8,0.5
1.6481848,0.0,191,1,1532,8,0.25
1.3745798,0.0,192,1,1540,8,0.5
1.2930404,0.0,193,1,1548,8,0.5
1.4985659,0.0,194,1,1556,8,0.5
1.1031058,0.0,195,1,1564,8,0.5
0.97790563,0.0,196,1,1572,8,0.75
1.3338655,0.0,197,1,1580,8,0.5
1.4863405,0.0,198,1,1588,8,0.5
0.93416667,0.0,199,1,1596,8,0.75
1.379952,0.0,200,1,1604,8,0.5
1.0725029,0.0,201,1,1612,8,0.5
1.0880574,0.0,202,1,1620,8,0.75
1.2711499,0.0,203,1,1628,8,0.5
1.2128342,0.0,204,1,1636,8,0.75
1.4599328,0.0,205,1,1644,8,0.5
1.6209245,0.0,206,1,1652,8,0.5
1.248827,0.0,207,1,1660,8,0.5
1.3823512,0.0,208,1,1668,8,0.5
1.3642948,0.0,209,1,1676,8,0.5
1.4106826,0.0,210,1,1684,8,0.5
1.8357174,0.0,211,1,1692,8,0.25
1.0883555,0.0,212,1,1700,8,0.5
1.2772094,0.0,213,1,1708,8,0.25
1.5023427,0.0,214,1,1716,8,0.25
1.3410114,0.0,215,1,1724,8,0.5
1.1188407,0.0,216,1,1732,8,0.5
1.4749856,0.0,217,1,1740,8,0.25
1.1485012,0.0,218,1,1748,8,0.5
1.2855948,0.0,219,1,1756,8,0.5
1.6039846,0.0,220,1,1764,8,0.25
1.4082102,0.0,221,1,1772,8,0.25
1.2876632,0.0,222,1,1780,8,0.5
1.2926767,0.0,223,1,1788,8,0.25
1.1903992,0.0,224,1,1796,8,0.75
1.3150668,0.0,225,1,1804,8,0.5
1.6073372,0.0,226,1,1812,8,0.25
1.525298,0.0,227,1,1820,8,0.25
1.1510398,0.0,228,1,1828,8,0.5
1.2533407,0.0,229,1,1836,8,0.5
1.0982914,0.0,230,1,1844,8,0.5
1.1587456,0.0,231,1,1852,8,0.5
0.9982241,0.0,232,1,1860,8,0.75
1.1326916,0.0,233,1,1868,8,0.5
1.1581314,0.0,234,1,1876,8,0.5
1.0761793,0.0,235,1,1884,8,0.75
1.3990244,0.0,236,1,1892,8,0.25
1.473336,0.0,237,1,1900,8,0.0
1.0848336,0.0,238,1,1908,8,1.0
1.4481207,0.0,239,1,1916,8,0.25
0.8395227,0.0,240,1,1924,8,0.75
1.3560098,0.0,241,1,1932,8,0.5
1.4804935,0.0,242,1,1940,8,0.25
1.5224437,0.0,243,1,1948,8,0.25
0.9649138,0.0,244,1,1956,8,0.75
1.1523151,0.0,245,1,1964,8,0.5
1.1266282,0.0,246,1,1972,8,0.5
0.80685776,0.0,247,1,1980,8,0.75
1.4234588,0.0,248,1,1988,8,0.25
1.4101903,0.0,249,1,1996,8,0.5
1.0188335,0.0,250,1,2004,8,0.5
1.4817739,0.0,251,1,2012,8,0.25
1.0706117,0.0,252,1,2020,8,0.5
1.174578,0.0,253,1,2028,8,0.5
1.6898549,0.0,254,1,2036,8,0.25
1.3699088,0.0,255,1,2044,8,0.25
1.536017,0.0,256,1,2052,8,0.5
1.0267864,0.0,257,1,2060,8,0.5
1.1176007,0.0,258,1,2068,8,0.5
1.6287365,0.0,259,1,2076,8,0.25
1.2452327,0.0,260,1,2084,8,0.5
1.0918274,0.0,261,1,2092,8,0.5
1.3563318,0.0,262,1,2100,8,0.25
1.2616589,0.0,263,1,2108,8,0.25
1.0671196,0.0,264,1,2116,8,0.5
1.3999397,0.0,265,1,2124,8,0.5
1.2533009,0.0,266,1,2132,8,0.5
1.0162951,0.0,267,1,2140,8,0.75
1.1156936,0.0,268,1,2148,8,0.75
1.1128579,0.0,269,1,2156,8,0.5
1.1641418,0.0,270,1,2164,8,0.5
0.5894214,0.0,271,1,2172,8,1.0
1.3923856,0.0,272,1,2180,8,0.0
1.3037667,0.0,273,1,2188,8,0.5
1.0526826,0.0,274,1,2196,8,0.5
1.6176066,0.0,275,1,2204,8,0.0
0.90099436,0.0,276,1,2212,8,0.75
1.4473041,0.0,277,1,2220,8,0.25
1.2046143,0.0,278,1,2228,8,0.75
0.8536215,0.0,279,1,2236,8,0.5
1.4382236,0.0,280,1,2244,8,0.25
1.3517694,0.0,281,1,2252,8,0.5
1.1511463,0.0,282,1,2260,8,0.5
0.9792274,0.0,283,1,2268,8,0.75
1.4681902,0.0,284,1,2276,8,0.0
1.0457548,0.0,285,1,2284,8,0.5
1.0990751,0.0,286,1,2292,8,0.5
1.4459585,0.0,287,1,2300,8,0.5
1.112988,0.0,288,1,2308,8,0.5
1.3644814,0.0,289,1,2316,8,0.25
1.3856287,0.0,290,1,2324,8,0.25
1.1926674,0.0,291,1,2332,8,0.5
1.3698432,0.0,292,1,2340,8,0.5
1.2931283,0.0,293,1,2348,8,0.5
1.1209949,0.0,294,1,2356,8,0.75
1.3464426,0.0,295,1,2364,8,0.5
1.1473997,0.0,296,1,2372,8,0.5
1.0045135,0.0,297,1,2380,8,0.75
1.0649328,0.0,298,1,2388,8,0.5
0.9253246,0.0,299,1,2396,8,0.75
0.95858026,0.0,300,1,2404,8,0.5
1.0208678,0.0,301,1,2412,8,0.5
0.88086945,0.0,302,1,2420,8,0.75
1.2989429,0.0,303,1,2428,8,0.25
1.2081091,0.0,304,1,2436,8,0.5
1.200132,0.0,305,1,2444,8,0.75
1.0950179,0.0,306,1,2452,8,0.75
1.518173,0.0,307,1,2460,8,0.25
1.0438839,0.0,308,1,2468,8,0.5
1.2919499,0.0,309,1,2476,8,0.25
1.0065123,0.0,310,1,2484,8,0.5
1.2163846,0.0,311,1,2492,8,0.5
1.2730787,0.0,312,1,2500,8,0.25
1.1429324,0.0,313,1,2508,8,0.5
0.9862693,0.0,314,1,2516,8,0.5
1.0753131,0.0,315,1,2524,8,0.5
1.0777042,0.0,316,1,2532,8,0.5
1.4802768,0.0,317,1,2540,8,0.0
1.010147,0.0,318,1,2548,8,0.5
1.084678,0.0,319,1,2556,8,0.5
0.92622936,0.0,320,1,2564,8,0.75
1.067449,0.0,321,1,2572,8,0.5
1.4216647,0.0,322,1,2580,8,0.25
0.9957057,0.0,323,1,2588,8,0.5
0.8603823,0.0,324,1,2596,8,0.75
0.9528765,0.0,325,1,2604,8,0.5
1.1313182,0.0,326,1,2612,8,0.75
1.1114378,0.0,327,1,2620,8,0.5
1.1259816,0.0,328,1,2628,8,0.5
1.3909336,0.0,329,1,2636,8,0.25
1.0764295,0.0,330,1,2644,8,0.5
0.96051264,0.0,331,1,2652,8,0.5
1.2249414,0.0,332,1,2660,8,0.25
0.63390785,0.0,333,1,2668,8,1.0
1.1149726,0.0,334,1,2676,8,0.5
1.0202863,0.0,335,1,2684,8,0.5
1.5177974,0.0,336,1,2692,8,0.0
1.3004566,0.0,337,1,2700,8,0.25
0.93304896,0.0,338,1,2708,8,0.5
0.98741853,0.0,339,1,2716,8,0.75
0.96577996,0.0,340,1,2724,8,0.75
1.173542,0.0,341,1,2732,8,0.25
0.75844806,0.0,342,1,2740,8,0.75
1.4077035,0.0,343,1,2748,8,0.25
1.101079,0.0,344,1,2756,8,0.75
0.9979391,0.0,345,1,2764,8,0.75
1.1015816,0.0,346,1,2772,8,0.75
1.0757298,0.0,347,1,2780,8,0.25
0.93089116,0.0,348,1,2788,8,0.5
0.6481413,0.0,349,1,2796,8,0.75
1.1516265,0.0,350,1,2804,8,0.5
1.1643354,0.0,351,1,2812,8,0.75
1.1098509,0.0,352,1,2820,8,0.5
1.2832448,0.0,353,1,2828,8,0.25
0.8397611,0.0,354,1,2836,8,0.75
1.1325774,0.0,355,1,2844,8,0.5
1.2804067,0.0,356,1,2852,8,0.25
1.0878549,0.0,357,1,2860,8,0.5
1.3819103,0.0,358,1,2868,8,0.25
1.2532597,0.0,359,1,2876,8,0.25
1.4658482,0.0,360,1,2884,8,0.5
0.85141975,0.0,361,1,2892,8,0.5
1.3335862,0.0,362,1,2900,8,0.25
1.0627306,0.0,363,1,2908,8,0.5
0.84757864,0.0,364,1,2916,8,0.75
1.0658023,0.0,365,1,2924,8,0.75
0.8653542,0.0,366,1,2932,8,0.75
1.0320107,0.0,367,1,2940,8,0.5
1.1343551,0.0,368,1,2948,8,0.5
1.6645334,0.0,369,1,2956,8,0.0
1.3056016,0.0,370,1,2964,8,0.5
1.4536884,0.0,371,1,2972,8,0.25
0.8174523,0.0,372,1,2980,8,0.75
1.0128309,0.0,373,1,2988,8,0.75
0.9315764,0.0,374,1,2996,8,0.75
1.3580964,0.0,375,1,3004,8,0.25
1.2839221,0.0,376,1,3012,8,0.25
1.3179362,0.0,377,1,3020,8,0.25
1.3319571,0.0,378,1,3028,8,0.5
1.187813,0.0,379,1,3036,8,0.75
0.79549575,0.0,380,1,3044,8,0.75
0.63413215,0.0,381,1,3052,8,0.75
0.80964315,0.0,382,1,3060,8,0.5
0.94170684,0.0,383,1,3068,8,0.75
1.1046902,0.0,384,1,3076,8,0.5
1.3416003,0.0,385,1,3084,8,0.5
0.8914603,0.0,386,1,3092,8,0.75
1.1067626,0.0,387,1,3100,8,0.5
0.89709884,0.0,388,1,3108,8,1.0
1.0922148,0.0,389,1,3116,8,0.75
1.0049756,0.0,390,1,3124,8,0.5
1.5729785,0.0,391,1,3132,8,0.0
1.022918,0.0,392,1,3140,8,0.75
1.3345584,0.0,393,1,3148,8,0.25
0.8235986,0.0,394,1,3156,8,0.75
1.0157484,0.0,395,1,3164,8,0.75
0.9319141,0.0,396,1,3172,8,0.5
1.2266216,0.0,397,1,3180,8,0.75
1.3651774,0.0,398,1,3188,8,0.25
1.2803181,0.0,399,1,3196,8,0.25
1.1240836,0.0,400,1,3204,8,0.5
0.70810723,0.0,401,1,3212,8,0.75
1.15409,0.0,402,1,3220,8,0.75
1.1547682,0.0,403,1,3228,8,0.25
1.0691831,0.0,404,1,3236,8,0.25
0.8634864,0.0,405,1,3244,8,0.5
0.7205679,0.0,406,1,3252,8,0.75
0.85075545,0.0,407,1,3260,8,0.5
0.7948367,0.0,408,1,3268,8,0.75
1.320477,0.0,409,1,3276,8,0.5
1.1097827,0.0,410,1,3284,8,0.5
1.1199095,0.0,411,1,3292,8,0.25
1.1826959,0.0,412,1,3300,8,0.5
0.7574141,0.0,413,1,3308,8,1.0
1.0638138,0.0,414,1,3316,8,0.5
1.3111985,0.0,415,1,3324,8,0.25
0.7228906,0.0,416,1,3332,8,0.5
1.0760407,0.0,417,1,3340,8,0.75
0.7133347,0.0,418,1,3348,8,0.75
1.350354,0.0,419,1,3356,8,0.25
1.0714471,0.0,420,1,3364,8,0.5
0.9896581,0.0,421,1,3372,8,0.75
1.2077842,0.0,422,1,3380,8,0.25
1.4018998,0.0,423,1,3388,8,0.0
0.85297483,0.0,424,1,3396,8,0.5
1.0328273,0.0,425,1,3404,8,0.75
0.54562736,0.0,426,1,3412,8,1.0
1.2286655,0.0,427,1,3420,8,0.5
1.1470172,0.0,428,1,3428,8,0.25
0.95741487,0.0,429,1,3436,8,0.5
1.1748128,0.0,430,1,3444,8,0.25
1.2286125,0.0,431,1,3452,8,0.25
1.1478274,0.0,432,1,3460,8,0.75
1.0536582,0.0,433,1,3468,8,0.5
0.7616598,0.0,434,1,3476,8,0.75
1.0567241,0.0,435,1,3484,8,0.75
0.98474425,0.0,436,1,3492,8,0.75
1.0527775,0.0,437,1,3500,8,0.5
0.60436344,0.0,438,1,3508,8,1.0
0.9203981,0.0,439,1,3516,8,0.75
0.8999778,0.0,440,1,3524,8,1.0
1.4198201,0.0,441,1,3532,8,0.25
0.91646653,0.0,442,1,3540,8,0.25
0.76822793,0.0,443,1,3548,8,0.5
0.86756253,0.0,444,1,3556,8,0.75
1.2457983,0.0,445,1,3564,8,0.25
1.0463288,0.0,446,1,3572,8,0.5
1.0117916,0.0,447,1,3580,8,0.5
1.2346807,0.0,448,1,3588,8,0.25
1.4780158,0.0,449,1,3596,8,0.25
1.3508497,0.0,450,1,3604,8,0.25
1.0399929,0.0,451,1,3612,8,0.25
1.1360084,0.0,452,1,3620,8,0.5
1.0864172,0.0,453,1,3628,8,0.75
1.0304632,0.0,454,1,3636,8,0.5
0.93878496,0.0,455,1,3644,8,0.75
1.4372457,0.0,456,1,3652,8,0.25
0.9024345,0.0,457,1,3660,8,0.75
0.9814652,0.0,458,1,3668,8,0.75
