avg_loss,last_test,epoch,batch_idx,pres_num,maxn,train_perf
2.1782482,0.125,0,1,16,8,0.0625
2.2118075,0.125,0,2,32,8,0.125
1.9809442,0.125,0,3,48,8,0.4375
2.1495676,0.125,0,4,64,8,0.1875
2.1049256,0.125,0,5,80,8,0.1875
2.100044,0.125,0,6,96,8,0.1875
2.3257413,0.125,0,7,112,8,0.0625
2.2712195,0.125,0,8,128,8,0.0625
2.3719842,0.1375,0,9,144,8,0.125
2.1729198,0.1375,0,10,160,8,0.125
2.3157723,0.1375,0,11,176,8,0.0625
2.3894985,0.1375,0,12,192,8,0.25
2.3661265,0.1375,0,13,208,8,0.0625
2.2130218,0.1375,0,14,224,8,0.0625
2.3129692,0.1375,0,15,240,8,0.125
2.1231654,0.1375,0,16,256,8,0.0
2.1493802,0.1375,0,17,272,8,0.125
2.2708647,0.1375,0,18,288,8,0.0
2.1196547,0.1375,0,19,304,8,0.1875
2.3383594,0.1375,0,20,320,8,0.0625
2.2205417,0.1375,0,21,336,8,0.1875
2.3961918,0.1375,0,22,352,8,0.0625
2.1958988,0.1375,0,23,368,8,0.1875
1.9681534,0.1375,0,24,384,8,0.1875
2.1685367,0.1375,0,25,400,8,0.0
2.3488767,0.1375,0,26,416,8,0.0625
2.1309478,0.1375,0,27,432,8,0.1875
2.2366455,0.1375,0,28,448,8,0.0
2.1545005,0.1375,0,29,464,8,0.0
1.9454192,0.1375,0,30,480,8,0.1875
2.270418,0.15,0,31,496,8,0.125
2.120495,0.1,1,1,528,8,0.0625
2.3293414,0.125,1,2,544,8,0.125
2.0655687,0.125,1,3,560,8,0.25
2.1178205,0.125,1,4,576,8,0.125
2.0375934,0.125,1,5,592,8,0.0625
2.3520982,0.125,1,6,608,8,0.0
2.1745346,0.125,1,7,624,8,0.0625
2.2084403,0.125,1,8,640,8,0.125
2.2485485,0.125,1,9,656,8,0.25
2.1149812,0.125,1,10,672,8,0.1875
2.2132452,0.1125,1,11,688,8,0.0625
2.1497462,0.1125,1,12,704,8,0.125
2.111079,0.1125,1,13,720,8,0.0
2.125431,0.1125,1,14,736,8,0.3125
2.2021532,0.1125,1,15,752,8,0.125
2.1976228,0.1125,1,16,768,8,0.0625
2.1712472,0.1125,1,17,784,8,0.125
2.073853,0.1125,1,18,800,8,0.125
2.2863503,0.1125,1,19,816,8,0.1875
2.1952221,0.1125,1,20,832,8,0.0625
2.247682,0.1125,1,21,848,8,0.0
2.0538378,0.1125,1,22,864,8,0.1875
2.1374712,0.1125,1,23,880,8,0.0
2.100484,0.1125,1,24,896,8,0.125
2.14864,0.1125,1,25,912,8,0.0625
2.345787,0.1125,1,26,928,8,0.125
2.156589,0.1125,1,27,944,8,0.0625
2.217543,0.1125,1,28,960,8,0.25
2.1175847,0.1125,1,29,976,8,0.0
2.1821854,0.1125,1,30,992,8,0.125
2.2014241,0.1125,1,31,1008,8,0.0625
2.1024792,0.1125,2,1,1040,8,0.125
2.1218696,0.1125,2,2,1056,8,0.125
2.1760502,0.0875,2,3,1072,8,0.0625
2.1239774,0.0875,2,4,1088,8,0.125
2.1568892,0.0625,2,5,1104,8,0.0
1.975357,0.0625,2,6,1120,8,0.4375
1.9953139,0.0625,2,7,1136,8,0.125
2.0926843,0.0625,2,8,1152,8,0.1875
2.3098888,0.0625,2,9,1168,8,0.0625
2.132853,0.075,2,10,1184,8,0.125
2.1466177,0.075,2,11,1200,8,0.125
2.1961377,0.075,2,12,1216,8,0.125
2.0252857,0.075,2,13,1232,8,0.125
2.1303806,0.0625,2,14,1248,8,0.1875
2.1892781,0.0625,2,15,1264,8,0.0
2.1871276,0.0625,2,16,1280,8,0.125
2.2376204,0.0625,2,17,1296,8,0.0
2.1524997,0.0625,2,18,1312,8,0.125
2.1162255,0.0625,2,19,1328,8,0.0
2.3062794,0.0625,2,20,1344,8,0.0
2.0164497,0.0625,2,21,1360,8,0.125
2.100329,0.0625,2,22,1376,8,0.125
2.1488464,0.0625,2,23,1392,8,0.125
2.163896,0.0625,2,24,1408,8,0.0625
2.0675952,0.0625,2,25,1424,8,0.1875
2.1203194,0.0625,2,26,1440,8,0.125
2.2674484,0.0625,2,27,1456,8,0.0
2.1979713,0.0625,2,28,1472,8,0.1875
2.039414,0.0625,2,29,1488,8,0.125
2.1504805,0.0625,2,30,1504,8,0.125
2.1913238,0.0625,2,31,1520,8,0.0625
2.1974306,0.0625,3,1,1552,8,0.0625
2.0541632,0.0625,3,2,1568,8,0.1875
2.1474216,0.0625,3,3,1584,8,0.125
2.1154814,0.0625,3,4,1600,8,0.125
2.086813,0.0625,3,5,1616,8,0.125
2.201532,0.0625,3,6,1632,8,0.0625
2.1186569,0.0625,3,7,1648,8,0.1875
2.0428019,0.0625,3,8,1664,8,0.125
2.0182607,0.0625,3,9,1680,8,0.25
2.105586,0.0625,3,10,1696,8,0.0625
2.2966022,0.0625,3,11,1712,8,0.0
2.246326,0.0625,3,12,1728,8,0.125
2.1760917,0.0625,3,13,1744,8,0.125
2.2592182,0.0625,3,14,1760,8,0.0625
2.0373251,0.0625,3,15,1776,8,0.1875
2.051565,0.0625,3,16,1792,8,0.25
2.1631165,0.0625,3,17,1808,8,0.1875
2.0946543,0.0625,3,18,1824,8,0.0625
2.183806,0.0875,3,19,1840,8,0.125
2.065319,0.0875,3,20,1856,8,0.125
2.0810475,0.0875,3,21,1872,8,0.125
2.1070516,0.0875,3,22,1888,8,0.25
2.138484,0.0875,3,23,1904,8,0.125
2.0672894,0.0875,3,24,1920,8,0.25
2.1257045,0.0875,3,25,1936,8,0.1875
2.1628547,0.0625,3,26,1952,8,0.0625
2.2109065,0.0625,3,27,1968,8,0.125
2.0344293,0.0625,3,28,1984,8,0.125
2.03938,0.0625,3,29,2000,8,0.1875
2.2763603,0.0625,3,30,2016,8,0.0
2.1986835,0.0625,3,31,2032,8,0.0
2.270459,0.0625,4,1,2064,8,0.0625
2.0898354,0.0625,4,2,2080,8,0.3125
2.1177607,0.0625,4,3,2096,8,0.125
2.139828,0.0625,4,4,2112,8,0.1875
2.0202472,0.0625,4,5,2128,8,0.0625
2.1470234,0.0625,4,6,2144,8,0.125
2.0369127,0.0625,4,7,2160,8,0.125
1.9784275,0.0625,4,8,2176,8,0.125
2.0914247,0.0625,4,9,2192,8,0.0625
2.0599575,0.0625,4,10,2208,8,0.0625
2.0316668,0.0625,4,11,2224,8,0.1875
2.0733342,0.0625,4,12,2240,8,0.25
2.2136493,0.0625,4,13,2256,8,0.0625
2.1442225,0.0625,4,14,2272,8,0.0625
2.1535916,0.0625,4,15,2288,8,0.125
2.175827,0.0625,4,16,2304,8,0.125
2.1030915,0.0625,4,17,2320,8,0.25
2.244772,0.0625,4,18,2336,8,0.0625
2.2311232,0.0625,4,19,2352,8,0.125
2.0831804,0.0625,4,20,2368,8,0.125
2.1096191,0.0625,4,21,2384,8,0.125
2.113109,0.0625,4,22,2400,8,0.3125
2.113772,0.0625,4,23,2416,8,0.0625
2.1941073,0.0625,4,24,2432,8,0.125
2.0358853,0.0625,4,25,2448,8,0.25
2.2059069,0.0625,4,26,2464,8,0.0625
2.2568867,0.0625,4,27,2480,8,0.0
2.0786157,0.0625,4,28,2496,8,0.1875
2.179002,0.0625,4,29,2512,8,0.1875
2.1745389,0.0625,4,30,2528,8,0.1875
2.090576,0.0625,4,31,2544,8,0.0625
2.010801,0.0625,5,1,2576,8,0.0
2.1351676,0.0625,5,2,2592,8,0.1875
2.1052713,0.0625,5,3,2608,8,0.125
